,name,rating,reviews,ctype,hq,old,employees
4913,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
4914,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
4915,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
4916,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
4917,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
4918,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
4919,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
4920,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
4921,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
4922,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
4923,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
4924,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
4925,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
4926,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
4927,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
4928,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
4929,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
4930,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
4931,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
4932,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
4933,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
4934,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
4935,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
4936,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
4937,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
4938,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
4939,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
4940,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
4941,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
4942,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
4943,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
4944,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
4945,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
4946,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
4947,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
4948,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
